,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2007-02-22,515.0,525.0,510.0,515.0,392.0806884765625,72590000,BBCA.JK,386.57654,384.46755981445307,0.0,7.613128662109432
2007-03-05,480.0,482.5,477.5,480.0,365.4344482421875,169810000,BBCA.JK,367.61575,374.95092773437494,9.516479492187443,0.0
2007-03-06,492.5,492.5,485.0,492.5,374.950927734375,102630000,BBCA.JK,374.10385,374.95092773437494,0.0,5.684341886080802e-14
2007-03-12,510.0,512.5,497.5,510.0,388.2740478515625,139700000,BBCA.JK,379.03177,399.6938781738281,0.0,-11.419830322265625
2007-03-13,525.0,525.0,510.0,525.0,399.6938781738281,251260000,BBCA.JK,385.11475,388.2740478515625,0.0,11.419830322265625
2007-03-20,500.0,505.0,490.0,500.0,380.66082763671875,30090000,BBCA.JK,376.24084,384.46755981445307,0.0,-3.806732177734318
2007-03-29,510.0,515.0,505.0,510.0,388.2740478515625,97860000,BBCA.JK,382.4521,388.2740478515625,0.0,0.0
2007-04-11,535.0,550.0,530.0,535.0,407.3070983886719,177010000,BBCA.JK,403.6328,407.3070983886718,0.0,5.684341886080802e-14
2007-04-18,525.0,535.0,520.0,525.0,399.6938781738281,133120000,BBCA.JK,396.31473,392.0806884765625,0.0,7.613189697265625
2007-04-25,540.0,540.0,535.0,540.0,411.11376953125,59190000,BBCA.JK,406.21155,407.3070983886718,0.0,3.806671142578182
2007-04-27,545.0,550.0,535.0,545.0,414.9203796386719,224650000,BBCA.JK,409.75198,403.50048828124994,0.0,11.419891357421932
2007-05-21,550.0,555.0,540.0,550.0,418.7269592285156,141570000,BBCA.JK,410.44043,418.72695922851557,0.0,5.684341886080802e-14
2007-05-22,550.0,555.0,545.0,550.0,418.7269592285156,123530000,BBCA.JK,413.64685,422.5335388183594,0.0,-3.80657958984375
2007-05-29,535.0,550.0,535.0,535.0,407.3070983886719,53130000,BBCA.JK,407.45776,403.50048828124994,-3.806610107421932,0.0
2007-05-31,535.0,535.0,515.0,525.0,399.6938781738281,405150000,BBCA.JK,399.21683,403.50048828124994,0.0,-3.806610107421818
2007-06-18,540.0,540.0,530.0,540.0,420.05938720703125,292620000,BBCA.JK,410.377,416.1700134277344,0.0,3.889373779296875
2007-06-22,535.0,535.0,525.0,535.0,416.1700134277344,72600000,BBCA.JK,410.37506,416.1700134277344,0.0,0.0
2007-06-27,535.0,535.0,525.0,535.0,416.1700134277344,148770000,BBCA.JK,407.97067,412.28057861328125,0.0,3.889434814453125
2007-06-28,530.0,535.0,530.0,530.0,412.28057861328125,219430000,BBCA.JK,406.14645,423.94888305664057,0.0,-11.668304443359318
2007-07-02,550.0,555.0,545.0,550.0,427.83831787109375,198660000,BBCA.JK,425.10388,451.17495727539057,0.0,-23.336639404296818
2007-07-05,575.0,580.0,570.0,575.0,447.2855529785156,109180000,BBCA.JK,428.7516,443.3960876464844,0.0,3.88946533203125
2007-07-11,585.0,585.0,575.0,585.0,455.06439208984375,142950000,BBCA.JK,441.7145,451.17495727539057,0.0,3.889434814453182
2007-07-16,575.0,590.0,575.0,575.0,447.2855529785156,60520000,BBCA.JK,441.94046,458.9538269042969,0.0,-11.66827392578125
2007-07-18,590.0,590.0,585.0,590.0,458.9538269042969,113990000,BBCA.JK,450.42014,462.84332275390625,0.0,-3.889495849609375
2007-07-24,630.0,645.0,620.0,630.0,490.0693054199219,300160000,BBCA.JK,478.16513,497.8480834960937,0.0,-7.778778076171818
2007-07-26,640.0,640.0,615.0,620.0,482.2904357910156,277470000,BBCA.JK,475.30838,478.4011535644531,0.0,3.8892822265625
2007-07-30,615.0,615.0,600.0,610.0,474.51141357421875,240420000,BBCA.JK,477.59424,490.0693054199218,15.557891845703068,0.0
2007-08-10,600.0,600.0,585.0,600.0,466.7326965332031,70780000,BBCA.JK,464.58755,470.6222839355468,0.0,-3.889587402343693
2007-08-27,600.0,605.0,595.0,600.0,466.7326965332031,123490000,BBCA.JK,455.17203,470.6222839355468,0.0,-3.889587402343693
2007-09-11,585.0,590.0,580.0,585.0,455.06439208984375,116400000,BBCA.JK,456.38086,455.0643920898437,-5.684341886080802e-14,0.0
2007-09-12,585.0,595.0,580.0,585.0,455.06439208984375,172750000,BBCA.JK,455.23328,462.84332275390625,7.7789306640625,0.0
2007-09-14,600.0,600.0,590.0,600.0,466.7326965332031,47970000,BBCA.JK,461.5844,462.84332275390625,0.0,3.889373779296875
2007-09-17,595.0,605.0,585.0,595.0,462.84332275390625,83160000,BBCA.JK,457.57956,462.84332275390625,0.0,0.0
2007-09-20,615.0,635.0,615.0,615.0,478.4011535644531,277020000,BBCA.JK,472.3115,490.0693054199218,0.0,-11.668151855468693
2007-10-03,645.0,665.0,640.0,645.0,501.73760986328125,377160000,BBCA.JK,497.0068,525.0743408203125,0.0,-23.33673095703125
2007-10-09,685.0,690.0,675.0,685.0,532.853271484375,97830000,BBCA.JK,520.8004,560.0792846679688,0.0,-27.22601318359375
2007-10-10,720.0,720.0,685.0,720.0,560.0792846679688,386390000,BBCA.JK,545.1713,563.9686889648438,0.0,-3.889404296875
2007-10-22,665.0,675.0,655.0,660.0,513.4058227539062,109120000,BBCA.JK,516.9579,532.853271484375,19.44744873046875,0.0
2007-10-23,685.0,685.0,675.0,685.0,532.853271484375,309830000,BBCA.JK,545.11115,521.1846923828125,-11.6685791015625,0.0
2007-11-07,725.0,735.0,715.0,725.0,563.9686889648438,108290000,BBCA.JK,569.034,544.5215454101562,-19.4471435546875,0.0
2007-11-14,720.0,725.0,715.0,720.0,560.0792846679688,189810000,BBCA.JK,571.8502,552.3003540039062,-7.7789306640625,0.0
2007-11-16,700.0,700.0,685.0,695.0,540.6318969726562,172050000,BBCA.JK,539.3557,552.3003540039062,0.0,-11.66845703125
2007-11-20,710.0,700.0,675.0,690.0,536.7427368164062,621610000,BBCA.JK,536.05865,525.0743408203125,0.0,11.66839599609375
2007-11-22,670.0,700.0,665.0,700.0,544.5215454101562,176740000,BBCA.JK,549.501,528.963623046875,-15.55792236328125,0.0
2007-11-23,700.0,710.0,675.0,680.0,528.963623046875,289710000,BBCA.JK,540.5516,540.6318969726562,11.66827392578125,0.0
2007-12-11,760.0,760.0,750.0,760.0,595.7777709960938,166780000,BBCA.JK,581.4891,580.0993041992188,0.0,15.678466796875
2007-12-14,740.0,740.0,725.0,740.0,580.0993041992188,148890000,BBCA.JK,578.58673,564.4209594726562,0.0,15.6783447265625
2007-12-28,745.0,750.0,730.0,730.0,572.2600708007812,267210000,BBCA.JK,571.98975,572.2600708007812,0.0,0.0
2008-01-09,700.0,725.0,700.0,725.0,568.340576171875,432790000,BBCA.JK,564.20996,564.4209594726562,0.0,3.91961669921875
2008-01-15,720.0,720.0,700.0,710.0,556.5817260742188,156320000,BBCA.JK,558.07324,540.903564453125,-15.67816162109375,0.0
2008-01-21,660.0,680.0,655.0,660.0,517.3858032226562,82860000,BBCA.JK,531.43115,493.8683471679687,-23.517456054687557,0.0
2008-01-25,690.0,720.0,690.0,720.0,564.4209594726562,265830000,BBCA.JK,557.67316,564.4209594726562,0.0,0.0
2008-02-14,665.0,695.0,665.0,685.0,536.9839477539062,221150000,BBCA.JK,546.5176,540.903564453125,3.91961669921875,0.0
2008-02-21,720.0,730.0,715.0,730.0,572.2600708007812,246070000,BBCA.JK,557.91626,564.4209594726562,0.0,7.839111328125
2008-02-29,705.0,715.0,700.0,715.0,560.5013427734375,239882500,BBCA.JK,558.4944,552.6621704101562,0.0,7.83917236328125
2008-03-05,725.0,725.0,705.0,725.0,568.340576171875,145715000,BBCA.JK,566.48804,556.5817260742188,0.0,11.75885009765625
